sampleID	Metadata	Level	Rank_code	Rank_I	Rank_II	Rank_III	Rank_IV	Rank_V	ARGs_unranked	Total_abu
170613Alm_D17-137037	None	Level 2	2.8-5.9-0.7-0.9-1.2-0.5	3.6E-02	2.3E-01	3.1E-02	3.5E-01	1.9E-01	1.7E-01	5.4E+02
170613Alm_D17-137038	None	Level 1	5.4-3.5-0.5-1.0-1.5-0.4	6.8E-02	1.4E-01	2.4E-02	3.8E-01	2.3E-01	1.6E-01	6.1E+02
170613Alm_D17-137033	None	Level 1	4.0-2.9-0.5-0.9-2.3-0.4	5.0E-02	1.1E-01	2.4E-02	3.4E-01	3.5E-01	1.3E-01	5.4E+02
170201Alm_D17-1561	None	Level 1	13.8-5.0-0.9-0.8-0.4-0.6	1.7E-01	1.9E-01	4.4E-02	2.9E-01	6.7E-02	2.3E-01	1.6E+03
170613Alm_D17-137030	None	Level 1	3.9-3.1-0.7-1.0-1.4-0.5	4.9E-02	1.2E-01	3.1E-02	4.0E-01	2.2E-01	1.8E-01	4.5E+02
170201Alm_D17-1565	None	Level 1	8.0-2.9-0.7-1.2-0.4-0.6	1.0E-01	1.1E-01	3.1E-02	4.6E-01	6.1E-02	2.3E-01	8.7E+02
170613Alm_D17-137031	None	Level 1	3.5-2.1-0.5-1.0-1.9-0.5	4.4E-02	8.1E-02	2.1E-02	3.7E-01	3.0E-01	1.9E-01	5.5E+02
170613Alm_D17-137035	None	Level 1	3.9-3.6-0.4-0.9-2.0-0.4	5.0E-02	1.4E-01	1.8E-02	3.3E-01	3.1E-01	1.5E-01	4.4E+02
bz0033	None	Level 3	0.0-0.0-0.0-1.3-0.7-1.1	4.0E-04	9.0E-05	3.7E-05	5.1E-01	1.1E-01	3.8E-01	6.5E+02
an0001	None	Level 3	0.1-0.0-0.0-1.3-2.9-0.1	1.5E-03	0.0E+00	1.7E-04	5.1E-01	4.5E-01	3.9E-02	2.6E+02
dj0001	None	Level 3	0.1-0.1-0.0-1.4-1.4-0.7	1.5E-03	4.4E-03	9.3E-04	5.4E-01	2.1E-01	2.4E-01	6.4E+02
cc0023	None	Level 2	2.2-0.0-0.0-0.9-2.9-0.5	2.8E-02	0.0E+00	2.3E-04	3.5E-01	4.5E-01	1.7E-01	4.4E+02
cq0035	None	Level 3	0.1-0.1-0.0-1.3-2.7-0.2	1.5E-03	2.8E-03	1.0E-03	5.1E-01	4.1E-01	7.6E-02	6.9E+02
aj0061	None	Level 2	1.0-0.0-0.0-1.2-2.3-0.5	1.3E-02	4.2E-04	0.0E+00	4.7E-01	3.5E-01	1.7E-01	4.2E+02
ap0037	None	Level 3	0.1-0.0-0.0-1.3-2.2-0.4	1.2E-03	0.0E+00	0.0E+00	4.9E-01	3.5E-01	1.6E-01	3.2E+02
cd0050	None	Level 3	0.3-0.1-0.1-1.5-1.7-0.3	3.6E-03	3.0E-03	5.5E-03	5.9E-01	2.7E-01	1.3E-01	3.5E+02
de0001	None	Level 2	1.6-0.0-0.0-0.8-2.7-0.7	2.0E-02	0.0E+00	0.0E+00	3.2E-01	4.2E-01	2.4E-01	4.9E+02
bq0068	None	Level 2	2.7-1.8-0.0-1.2-1.8-0.4	3.5E-02	7.1E-02	0.0E+00	4.6E-01	2.8E-01	1.6E-01	4.1E+02
aa0163	None	Level 2	0.6-0.0-0.0-0.8-2.8-0.7	8.1E-03	0.0E+00	2.0E-04	3.2E-01	4.3E-01	2.4E-01	4.7E+02
br0002	None	Level 3	0.1-0.1-0.0-0.7-3.3-0.6	1.4E-03	2.4E-03	4.0E-04	2.6E-01	5.1E-01	2.3E-01	5.5E+02
af0060	None	Level 6	0.0-0.0-0.0-1.3-1.9-0.5	0.0E+00	0.0E+00	1.5E-04	5.2E-01	3.0E-01	1.9E-01	2.7E+02
dd0001	None	Level 3	0.4-0.0-0.0-1.1-2.6-0.5	4.5E-03	9.8E-04	2.2E-04	4.3E-01	4.0E-01	1.7E-01	8.4E+02
ab0168	None	Level 3	0.1-0.1-0.0-0.8-2.5-0.8	1.4E-03	3.1E-03	3.2E-04	3.2E-01	3.9E-01	2.9E-01	3.5E+02
ad0005	None	Level 2	0.7-0.0-0.0-0.7-3.3-0.5	8.6E-03	6.1E-04	1.1E-04	2.8E-01	5.1E-01	2.0E-01	6.3E+02
cf0037	None	Level 2	0.7-0.0-0.0-0.6-3.6-0.5	8.5E-03	2.8E-04	3.1E-04	2.5E-01	5.6E-01	1.8E-01	3.4E+02
au0066	None	Level 3	0.3-0.0-0.0-1.6-1.2-0.5	3.6E-03	0.0E+00	0.0E+00	6.3E-01	1.9E-01	1.7E-01	2.6E+02
cj0004	None	Level 2	0.8-0.0-0.0-0.8-3.5-0.3	1.0E-02	1.8E-03	0.0E+00	3.3E-01	5.4E-01	1.2E-01	3.1E+02
ax0090	None	Level 2	1.2-0.0-0.0-1.0-2.8-0.4	1.6E-02	0.0E+00	0.0E+00	4.0E-01	4.3E-01	1.6E-01	1.0E+02
cy0019	None	Level 2	0.6-0.0-0.3-0.9-3.5-0.3	8.0E-03	1.5E-04	1.3E-02	3.3E-01	5.4E-01	1.1E-01	3.8E+02
az0036	None	Level 2	2.6-0.3-0.2-1.1-2.9-0.2	3.2E-02	1.0E-02	8.6E-03	4.4E-01	4.4E-01	7.0E-02	2.9E+02
ch0008	None	Level 3	0.0-0.0-0.0-1.3-1.7-0.7	2.4E-04	4.2E-04	0.0E+00	4.8E-01	2.6E-01	2.5E-01	4.1E+02
bo0122	None	Level 2	0.5-0.0-0.1-0.9-3.4-0.3	6.5E-03	0.0E+00	2.7E-03	3.4E-01	5.3E-01	1.2E-01	2.7E+02
ak0010	None	Level 2	1.4-0.4-0.0-0.4-2.2-1.4	1.8E-02	1.7E-02	1.8E-04	1.4E-01	3.4E-01	4.9E-01	1.9E+02
cw0001	None	Level 3	0.4-0.0-0.0-1.2-2.8-0.3	4.8E-03	0.0E+00	0.0E+00	4.6E-01	4.4E-01	9.8E-02	4.1E+02
be0001	None	Level 3	0.1-0.3-0.0-1.1-2.5-0.6	1.3E-03	1.1E-02	0.0E+00	4.0E-01	3.8E-01	2.0E-01	4.7E+02
cg0014	None	Level 3	0.4-0.0-0.0-1.1-2.7-0.4	5.7E-03	0.0E+00	0.0E+00	4.2E-01	4.2E-01	1.5E-01	3.6E+02
ar0039	None	Level 2	2.1-0.0-0.0-1.0-2.7-0.5	2.7E-02	3.0E-04	0.0E+00	3.8E-01	4.2E-01	1.8E-01	4.8E+02
ca0012	None	Level 2	1.1-0.0-0.0-0.9-2.9-0.5	1.4E-02	0.0E+00	0.0E+00	3.5E-01	4.5E-01	1.9E-01	5.4E+02
bi0026	None	Level 2	0.9-0.0-0.0-1.3-1.6-0.6	1.1E-02	1.4E-03	0.0E+00	5.2E-01	2.5E-01	2.2E-01	5.7E+02
ay0058	None	Level 3	0.5-0.0-0.0-1.2-2.9-0.2	6.0E-03	3.5E-04	0.0E+00	4.7E-01	4.5E-01	7.6E-02	3.4E+02
bk0025	None	Level 3	0.0-0.0-0.1-1.4-1.7-0.6	2.7E-04	0.0E+00	3.5E-03	5.2E-01	2.7E-01	2.1E-01	3.8E+02
bv0024	None	Level 3	0.3-0.0-0.0-1.3-1.9-0.6	3.8E-03	0.0E+00	0.0E+00	4.9E-01	2.9E-01	2.2E-01	2.6E+02
cz0001	None	Level 2	0.6-0.0-0.0-0.8-3.5-0.4	7.0E-03	0.0E+00	0.0E+00	3.2E-01	5.4E-01	1.3E-01	2.2E+02
cm0022	None	Level 5	0.0-0.1-0.0-0.8-3.5-0.4	0.0E+00	3.6E-03	0.0E+00	3.0E-01	5.3E-01	1.6E-01	1.7E+02
bx0057	None	Level 1	5.8-0.0-0.0-0.6-3.2-0.6	7.3E-02	4.7E-04	2.7E-04	2.3E-01	4.9E-01	2.1E-01	5.6E+02
ah0028	None	Level 3	0.4-0.2-0.0-0.9-3.4-0.4	4.8E-03	9.0E-03	0.0E+00	3.3E-01	5.2E-01	1.4E-01	2.1E+02
bh0112	None	Level 3	0.1-0.0-0.0-1.4-2.4-0.3	1.3E-03	0.0E+00	0.0E+00	5.3E-01	3.7E-01	1.1E-01	4.1E+02
bt0039	None	Level 2	0.5-0.0-0.0-1.2-2.9-0.2	6.6E-03	0.0E+00	1.5E-04	4.7E-01	4.5E-01	7.5E-02	2.0E+02
bf0003	None	Level 3	0.1-0.0-0.0-1.1-2.5-0.5	1.0E-03	5.8E-04	0.0E+00	4.3E-01	3.9E-01	1.8E-01	2.6E+02
